GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Batch Framework,com.example.batch.tasklet,FileRenameTasklet,19,81,0,2,4,14,0,6,0,5
Spring Batch Framework,com.example.batch.tasklet,StatisticsAndEmailTasklet,51,453,6,23,11,118,4,23,0,12
Spring Batch Framework,com.example.batch.multithreaded,WorkItemRowMapper,0,49,0,4,0,11,0,4,0,2
Spring Batch Framework,com.example.batch.multithreaded,WorkItem,0,45,0,0,0,13,0,13,0,13
Spring Batch Framework,com.example.batch.multithreaded,WorkItemProcessor,0,59,0,4,0,12,0,5,0,3
Spring Batch Framework,com.example.batch.sample,SampleItemReader,0,68,0,4,0,13,0,5,0,3
Spring Batch Framework,com.example.batch.sample,SampleItemProcessor,0,43,0,6,0,11,0,6,0,3
Spring Batch Framework,com.example.batch.sample,SampleItemWriter,0,29,0,2,0,7,0,4,0,3
Spring Batch Framework,com.example.batch.sample,SampleRecord,0,54,0,0,0,16,0,11,0,11
Spring Batch Framework,com.example.batch.invoice,InvoiceItemProcessor,0,52,0,6,0,12,0,6,0,3
Spring Batch Framework,com.example.batch.invoice,InvoiceItemReader,0,92,0,4,0,17,0,5,0,3
Spring Batch Framework,com.example.batch.invoice,InvoiceRecord,0,67,0,0,0,19,0,13,0,13
Spring Batch Framework,com.example.batch.invoice,InvoiceItemWriter,0,29,0,2,0,7,0,4,0,3
Spring Batch Framework,com.example.batch,SpringBatchApplication,608,558,48,60,113,123,35,43,8,16
Spring Batch Framework,com.example.batch.support,BatchExceptionClasses,11,0,0,0,5,0,1,0,1,0
Spring Batch Framework,com.example.batch.support,CsvHeaderCallback,0,11,0,0,0,5,0,2,0,2
Spring Batch Framework,com.example.batch.support,ColumnRangePartitioner,0,250,1,11,0,40,1,12,0,7
Spring Batch Framework,com.example.batch.support,BatchJobParameterValidator,0,67,0,6,0,19,0,7,0,4
Spring Batch Framework,com.example.batch.model,JobStatistics,6,184,0,10,2,45,2,38,2,33
Spring Batch Framework,com.example.batch.model,JobStatistics.StepStats,0,67,0,2,0,23,0,12,0,11
Spring Batch Framework,com.example.batch.listener,StepStatisticsListener,0,85,0,0,0,17,0,4,0,4
Spring Batch Framework,com.example.batch.listener,JobStatisticsListener,0,65,0,0,0,17,0,4,0,4
Spring Batch Framework,com.example.batch.listener,StepErrorCollector,0,123,0,18,0,29,0,19,0,10
Spring Batch Framework,com.example.batch.dbtofile,CustomerReportRowMapper,0,44,0,2,0,11,0,3,0,2
Spring Batch Framework,com.example.batch.dbtofile,CustomerReportProcessor,0,90,0,12,0,18,0,10,0,4
Spring Batch Framework,com.example.batch.dbtofile,CustomerReportRecord,0,45,0,0,0,13,0,13,0,13
Spring Batch Framework,com.example.batch.dbtofile,CustomerReportHeaderCallback,0,7,0,0,0,3,0,2,0,2
Spring Batch Framework,com.example.batch.filetodb,TransactionRecord,0,45,0,0,0,13,0,13,0,13
Spring Batch Framework,com.example.batch.filetodb,TransactionProcessor,0,77,0,12,0,19,0,9,0,3
Spring Batch Framework,com.example.batch.filetodb,TransactionFieldSetMapper,0,90,1,3,0,23,1,5,0,4
Spring Batch Framework,com.example.batch.service,EmailNotificationService,0,717,1,45,0,175,1,39,0,17
Spring Batch Framework,com.example.batch.repository,JobRunStatsRepository,23,282,3,17,8,54,2,20,0,12
